96,34.12,1,7,0,2340.676664,2814,922,1221
141,50.38,1,1,0,0,2799,955,1191
122,42.82,1,0,0,0,2849,978,1211
106,38.1,0,0,0,0,2782,910,1238
97,31.93,7,2,0,0,3038,1044,1294
104,40.12,8,7,0,0,2592,848,1125
128,47.6,6,17,0,0,2689,921,1117
106,38.81,3,1,0,94.95571884,2731,915,1168
101,41.51,0,0,0,0,2433,873,1019
137,45.3,2,0,0,0,3024,1039,1301
114,39.11,0,0,0,0,2915,971,1280
91,28.85,0,0,0,0,3154,1076,1297
109,42.2,5,13,0,0,2583,897,1112
99,39.63,13,64,0,135.8476048,2498,818,1120
122,44.03,2,0,0,0,2771,955,1199
144,56.29,2,1,0,0,2558,867,1096
128,42.02,7,28,0,0,3046,1065,1309
90,34.36,2,13,0,68.34596097,2619,895,1166
101,36.54,1,3,0,0,2764,947,1213
109,39.61,0,0,0,0,2752,935,1197
115,41.04,1,0,0,0,2802,960,1188
82,29.35,2,15,0,655.3543446,2794,841,1293
143,49.17,3,4,0,0,2908,957,1282
132,48.71,3,7,0,0,2710,905,1139
160,57.02,0,0,0,0,2806,982,1163
123,42.2,5,9,0,0,2915,968,1246
83,30.7,1,2,0,0,2704,874,1256
70,25.95,2,3,0,0,2698,779,1268
115,41.64,2,1,0,0,2762,952,1204
135,44.6,3,2,0,1386.103576,3027,1025,1276
91,35.48,0,0,0,0,2565,907,1052
82,26.43,3,7,0,0,3102,887,1446
134,48.66,3,5,0,0,2754,899,1199
114,39.76,3,3,0,0,2867,934,1298
104,38.11,0,0,0,0,2729,982,1157
128,49.9,8,11,0,0,2565,862,1124
123,41.74,1,0,0,0,2947,971,1303
96,39.12,2,5,0,0,2454,688,1136
79,27.99,2,13,0,0,2822,989,1261
117,42.5,5,15,0,0,2753,863,1230
77,26.2,2,0,0,0,2939,921,1297
142,46.71,0,0,0,0,3040,1049,1336
70,23.41,9,28,0,594.701289,2990,967,1366
67,23.24,0,0,0,0,2883,861,1318
126,48.09,0,0,0,233.3887299,2620,908,1148
104,35.16,3,14,0,0,2958,982,1337
135,30.05,9,31,0,588.2626303,4492,1349,1947
103,32.84,4,5,0,0,3136,985,1396
140,44.9,0,0,0,0,3118,932,1355
142,50.55,1,1,0,0,2809,963,1181
110,43.38,8,22,0,2577.595325,2536,838,1140
93,32.61,15,23,0,0,2852,986,1301
112,38.94,3,2,0,0,2876,948,1294
111,39.4,1,7,0,0,2817,913,1248
108,33.58,2,1,0,0,3216,968,1376
115,37.5,1,5,0,0,3067,908,1311
89,32.59,2,6,0,0,2731,791,1219
137,44.73,0,0,0,0,3063,939,1287
90,35.45,1,3,0,0,2539,770,1153
132,47.74,2,7,0,0,2765,987,1175
122,42.35,0,0,0,0,2881,952,1285
120,43.01,1,0,0,0,2790,914,1207
77,31.67,1,4,0,0,2431,729,1079
116,44.87,0,0,0,0,2585,867,1104
119,42.9,4,19,0,1981.000881,2774,852,1187
99,35.86,5,15,0,0,2761,912,1245
118,42.29,2,5,0,0,2790,915,1202
126,40.1,4,2,0,1613.880239,3142,940,1415
126,44.01,0,0,0,0,2863,901,1202
105,37.31,0,0,0,0,2814,882,1217
115,42.42,2,4,0,0,2711,796,1153
134,45.44,6,6,0,0,2949,983,1207
152,48.53,2,0,0,0,3132,1112,1367
129,46.14,0,0,0,0,2796,891,1226
117,40.08,0,0,0,0,2919,812,1300
97,38.25,3,1,0,0,2536,936,1090
109,38.94,0,0,0,0,2799,919,1167
99,40.41,8,72,0,1621.73067,2450,777,1053
105,36.89,0,0,0,0,2846,923,1223
109,41.48,0,0,0,0,2628,849,1099
129,45.66,5,3,0,0,2825,915,1382
123,42.31,6,26,0,0,2907,911,1314
106,37.43,3,0,0,0,2832,926,1224
113,39.26,5,8,0,0,2878,957,1236
110,38.13,6,171,0,953.333017,2885,861,1299
104,34.91,6,57,0,1008.839537,2979,921,1287
157,54.34,9,22,0,0,2889,969,1210
121,44.98,0,0,0,0,2690,916,1139
132,49.59,4,11,0,921.2976778,2662,848,1177
92,38.92,9,43,0,0,2364,832,957
152,51.3,0,0,0,0,2963,1031,1283
88,33.86,2,4,0,0,2599,870,1066
147,47.57,0,0,0,1941.226548,3090,996,1295
103,39.77,4,1,0,0,2590,875,1141
122,40.32,5,18,0,0,3026,1009,1390
115,38.23,5,17,0,0,3008,939,1329
144,46.17,1,49,1,0,3119,1084,1377
123,45.49,4,5,0,0,2704,860,1187
82,33.51,1,6,0,2582.331441,2447,774,1054
110,36.61,1,0,0,0,3005,1085,1313
109,38.98,0,0,0,0,2796,937,1190
129,45.29,1,2,0,0,2848,893,1283
140,45.22,6,5,0,0,3096,994,1419
102,42.79,0,0,0,0,2384,758,1083
111,40.84,6,50,0,0,2718,866,1210
82,31.7,7,19,0,0,2587,822,1199
114,35.57,3,4,0,2204.043527,3205,963,1385
97,18.32,4,33,0,5093.804829,5295,1474,2543
89,33.72,3,46,0,2077.248688,2639,850,1075
125,43.66,1,0,0,0,2863,979,1237
147,49.81,0,0,0,0,2951,976,1300
109,40.21,2,1,0,0,2711,818,1334
